OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-11299 [DTC],2024-164J,2024-10-09T14:00:01.000224,15.69721688,0.0000946,53.1575,335.8028,86.1683,300.0869,0,U,61058,999,538,3.1959E-04,3.8327E-04,0
STARLINK-11154 [DTC],2024-164K,2024-10-09T14:00:01.000224,15.69735726,0.0000938,53.1581,335.7444,71.8438,342.1432,0,U,61059,999,538,3.8461E-05,4.078E-05,0
STARLINK-11297 [DTC],2024-164L,2024-10-09T14:00:01.000224,15.69682022,0.0001111,53.1579,335.6877,78.3642,3.4205,0,U,61060,999,522,2.6425E-04,3.1509E-04,0
STARLINK-11233 [DTC],2024-164M,2024-10-09T14:00:01.000224,15.69732835,0.0001157,53.1577,335.6313,40.8635,68.5960,0,U,61061,999,542,1.1907E-04,1.3874E-04,0
STARLINK-11236 [DTC],2024-164N,2024-10-09T14:00:01.000224,15.69739598,0.0001255,53.1579,335.5731,70.3636,66.8246,0,U,61062,999,526,9.198E-05,1.0582E-04,0
STARLINK-32350,2024-164P,2024-10-09T11:28:04.392768,15.49303914,0.0001329,53.1588,338.0783,75.8591,284.2566,0,U,61063,999,431,-2.6671E-05,-1.931E-05,0
STARLINK-32378,2024-164Q,2024-10-09T11:27:05.055840,15.49301645,0.000128,53.1598,338.0715,79.0482,281.0671,0,U,61064,999,431,-6.4966E-05,-4.059E-05,0
STARLINK-32321,2024-164R,2024-10-09T14:00:01.000224,15.39588921,0.0002026,53.1602,337.7262,66.3116,86.9676,0,U,61065,999,541,1.3315E-03,5.3178E-04,0
STARLINK-32381,2024-164S,2024-10-09T11:26:32.979840,15.49295102,0.0001233,53.1590,338.0738,102.2419,257.8728,0,U,61066,999,431,-2.4228E-04,-1.3892E-04,0
STARLINK-32368,2024-164T,2024-10-09T11:26:05.984160,15.49317037,0.0001336,53.1586,338.0708,63.9574,296.1573,0,U,61067,999,431,1.797E-04,9.561E-05,0
STARLINK-32385,2024-164U,2024-10-09T14:00:01.000224,15.39583005,0.0000878,53.1602,337.6740,81.5506,97.4823,0,U,61068,999,541,1.4631E-03,5.8502E-04,0
